version,added,durationms,rate,accsize,durationmin,accsizegb
00,30035245,15335578,1,2766846705,255.593,2.57683
01,15051525,12939311,1,1655857653,215.655,1.54214
02,13643902,9480427,1,1283347205,158.007,1.19521
03,13312979,7313384,1,861600984,121.89,0.802428
04,15505700,3052312,5,446715382,50.8719,0.416036
05,0,18,0,2121,0.0003,1.97534e-06
06,12129189,2246491,5,3059195486,37.4415,2.8491
07,14421674,6327127,2,3593233565,105.452,3.34646
08,14523054,9212345,1,3903363856,153.539,3.63529
09,13670061,12082041,1,4264288172,201.367,3.97143
