##bucket, min, mean, max, stddev, count, total
0 0.0 0.47999999999999987 3.0 0.6141195788629906 50 24.0
1 0.0 0.34000000000000014 3.0 0.6262945776223708 50 17.0
2 0.0 0.5200000000000002 3.0 0.6773296909216966 50 26.0
3 0.0 0.54 3.0 0.676425177242955 50 27.0
4 0.0 0.7000000000000001 5.0 0.994884876941724 50 35.0
5 0.0 0.8199999999999997 6.0 1.063110568865089 50 41.0
6 0.0 0.9599999999999994 7.0 1.1945454263066788 50 48.0
7 0.0 1.08 7.0 1.2751950631097937 50 54.0
8 0.0 1.2000000000000004 7.0 1.2453996981544784 50 60.0
9 0.0 1.1399999999999997 6.0 1.2779128391599301 50 57.0
tot,0.0,0.7779999999999967,7.0,1.0348225526296086,500
