##ver, min, mean, max, stddev, count, total
0 0.0 0.5200000000000002 2.0 0.6141195788629905 50 26.0
1 0.0 0.6999999999999998 4.0 0.7354021529276425 50 35.0
2 0.0 0.5799999999999998 4.0 0.7309485031694881 50 29.0
3 0.0 0.8799999999999999 4.0 0.746146563268605 50 44.0
4 0.0 0.8799999999999997 5.0 0.9822921964383481 50 44.0
5 0.0 1.1599999999999997 6.0 1.2992933715316652 50 58.0
6 0.0 1.2399999999999998 6.0 1.1349728037737834 50 62.0
7 0.0 1.24 8.0 1.302431008004739 50 62.0
8 0.0 1.2999999999999996 8.0 1.32864823126702 50 65.0
9 0.0 1.4799999999999995 8.0 1.6442850937072184 50 74.0
