##ver, min, mean, max, stddev, count, total
0 0.0 0.5200000000000002 5.0 0.9089127840335357 50 26.0
1 0.0 0.36 4.0 0.6928203230275509 50 18.0
2 0.0 0.43999999999999995 5.0 0.860943952761106 50 22.0
3 0.0 0.4599999999999998 4.0 0.7879189847507245 50 23.0
4 0.0 0.7000000000000002 6.0 1.0546302185881011 50 35.0
5 0.0 0.7999999999999997 7.0 1.4285714285714295 50 40.0
6 0.0 1.0800000000000003 8.0 1.5364948182569997 50 54.0
7 0.0 0.9799999999999996 8.0 1.6097914683053107 50 49.0
8 0.0 1.2000000000000004 9.0 1.7842851423995405 50 60.0
9 0.0 1.4000000000000004 11.0 2.0404081224408137 50 70.0
