##ver, min, mean, max, stddev, count, total
0 1.0 7.040000000000001 17.0 2.555186801749872 50 352.0
1 2.0 17.64 58.0 9.030017967301944 50 882.0
2 5.0 16.3 30.0 7.094838595336579 50 815.0
3 1.0 12.919999999999998 37.0 5.899982704921037 50 646.0
4 4.0 16.479999999999997 37.0 7.51390547652844 50 824.0
5 4.0 15.419999999999998 41.0 8.466235459585496 50 771.0
6 2.0 16.08 37.0 8.171228768786046 50 804.0
7 2.0 14.820000000000002 36.0 7.544940188562108 50 741.0
8 1.0 14.62 39.0 7.87890492753548 50 731.0
9 6.0 15.959999999999997 37.0 7.250503149324697 50 798.0
