versionstart,versionend,ms
0,0,1293.86
0,1,1264.86
0,2,1291.14
0,3,1216.62
0,4,1203.42
0,5,1239.18
0,6,1224.52
0,7,1323.1
0,8,1308.0
0,9,1327.44
0,10,1353.36
0,11,1289.48
0,12,1439.04
0,13,1323.46
0,14,1167.8
0,15,1265.52
0,16,1338.82
0,17,1287.56
0,18,1409.22
0,19,1391.16
0,20,1481.46
0,21,1437.74
0,22,1380.2
0,23,1336.94
0,24,1415.88
0,25,1362.88
0,26,1253.6
0,27,1434.06
0,28,1369.84
0,29,1280.56
0,30,1113.72
0,31,1528.24
0,32,1484.26
0,33,1494.24
0,34,1515.78
0,35,1521.16
0,36,1479.36
0,37,1521.26
0,38,1401.14
0,39,1458.16
0,40,1446.42
0,41,1481.1
0,42,1398.76
0,43,1617.46
0,44,1403.3
0,45,1475.84
0,46,1401.54
0,47,1437.16
0,48,1461.86
0,49,1463.58
0,50,1485.68
0,51,1419.52
0,52,1481.24
0,53,1504.22
0,54,1361.96
0,55,1398.46
0,56,1435.0
0,57,1434.0
