versionstart,versionend,ms
0,0,1258.66
0,1,1219.82
0,2,1251.64
0,3,1167.6
0,4,1160.9
0,5,1190.52
0,6,1184.66
0,7,1278.82
0,8,1253.78
0,9,1284.36
0,10,1311.9
0,11,1257.06
0,12,1401.14
0,13,1289.5
0,14,1133.44
0,15,1227.84
0,16,1295.06
0,17,1251.26
0,18,1366.68
0,19,1342.16
0,20,1440.78
0,21,1395.22
0,22,1339.66
0,23,1301.5
0,24,1377.32
0,25,1323.24
0,26,1209.44
0,27,1386.96
0,28,1333.42
0,29,1243.84
0,30,1075.96
0,31,1476.12
0,32,1439.44
0,33,1453.32
0,34,1465.12
0,35,1459.42
0,36,1428.46
0,37,1470.02
0,38,1359.14
0,39,1411.58
0,40,1407.9
0,41,1440.5
0,42,1354.72
0,43,1562.6
0,44,1354.26
0,45,1431.66
0,46,1356.82
0,47,1395.22
0,48,1423.02
0,49,1420.68
0,50,1437.36
0,51,1372.94
0,52,1440.36
0,53,1454.94
0,54,1323.1
0,55,1358.68
0,56,1392.18
0,57,1385.42
