version,ms
0,703.96
1,742.7
2,705.14
3,744.68
4,648.18
5,640.42
6,670.46
7,660.98
8,765.68
9,739.62
10,770.9
11,811.82
12,741.26
13,903.24
14,780.66
15,601.82
16,704.32
17,787.9
18,737.02
19,876.82
20,846.56
21,951.2
22,902.66
23,834.94
24,789.7
25,878.52
26,815.8
27,692.12
28,897.0
29,830.68
30,724.44
31,538.32
32,995.08
33,948.98
34,956.64
35,983.46
36,978.58
37,937.76
38,985.08
39,859.72
40,922.5
41,912.36
42,946.7
43,848.68
44,1085.84
45,853.3
46,943.72
47,860.1
48,896.46
49,926.4
50,935.66
51,951.74
52,878.88
53,964.44
54,976.24
55,822.74
56,861.22
57,895.9
