patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,5.37268,6.17126,0.07348
0,2,0,-0.002,3.4781,6.230479999999999,0.09728
0,3,0,-0.002,3.24456,6.26108,0.09872
1,3,0,-0.002,8.5641,6.30654,0.0742
0,4,0,-0.002,3.91244,6.24314,0.09190000000000001
2,4,0,-0.002,7.34948,6.31398,0.07392
0,5,0,-0.002,2.74504,6.26972,0.10278
2,5,0,-0.002,6.16732,6.35702,0.1128
0,6,0,-0.002,2.5923000000000003,6.39748,0.10368000000000001
3,6,0,-0.002,5.7758199999999995,6.3494399999999995,0.11342
0,7,0,-0.002,2.34658,6.303100000000001,0.10490000000000001
3,7,0,-0.002,5.5449399999999995,6.38468,0.15062
0,8,0,-0.002,2.01834,6.31248,0.106
4,8,0,-0.002,5.88496,6.391979999999999,0.15159999999999998
0,9,0,-0.002,1.81208,6.32696,0.10564
4,9,0,-0.002,5.68452,6.4662,0.22676
