patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.002,0.00216,0.00884,0.00222
1,0,-0.002,0.39324000000000003,0.3539,0.00202
2,0,-0.002,0.31716,0.31395999999999996,0.00222
3,0,-0.002,0.31127999999999995,0.30792,0.0023799999999999997
4,0,-0.002,0.30057999999999996,0.30282,0.0023799999999999997
5,0,-0.002,0.29666000000000003,0.28808,0.00252
6,0,-0.002,0.29246,0.28852,0.0024
7,0,-0.002,0.27162000000000003,0.26414,0.0024
8,0,-0.002,0.26996,0.25683999999999996,0.0025
9,0,-0.002,0.25386000000000003,0.25328,0.00244
