patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,4.875,8.158,0.039
0,2,0,-0.002,4.796,9.084,0.181
0,3,0,-0.002,1.053,9.362,0.239
1,3,0,-0.002,4.945,8.889,0.229
0,4,0,-0.002,2.16,9.472,0.27
2,4,0,-0.002,4.855,8.836,0.126
0,5,0,-0.002,2.17,9.552,0.312
2,5,0,-0.002,4.89,9.035,0.224
0,6,0,-0.002,1.278,9.513,0.338
3,6,0,-0.002,2.294,9.092,0.178
0,7,0,-0.002,2.154,9.305,0.37
3,7,0,-0.002,3.172,9.252,0.255
0,8,0,-0.002,1.059,13.283,0.381
4,8,0,-0.002,3.5,9.021,0.281
0,9,0,-0.002,1.103,13.901,0.39
4,9,0,-0.002,3.212,9.037,0.323
