patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,2.14,2.227,0.024
0,2,0,-0.002,1.272,2.327,0.009
0,3,0,-0.002,0.055,2.64,0.031
1,3,0,-0.002,3.192,2.269,0.044
0,4,0,-0.002,0.064,2.311,0.025
2,4,0,-0.002,3.424,2.266,0.032
0,5,0,-0.002,0.062,2.409,0.06
2,5,0,-0.002,3.414,2.255,0.033
0,6,0,-0.002,0.063,2.664,0.01
3,6,0,-0.002,0.1,2.251,0.047
0,7,0,-0.002,0.061,2.443,0.031
3,7,0,-0.002,0.1,2.254,0.047
0,8,0,-0.002,0.059,2.936,0.033
4,8,0,-0.002,0.103,2.473,0.037
0,9,0,-0.002,0.064,2.951,0.034
4,9,0,-0.002,0.103,2.25,0.049
