patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.189,0.163,0.002
0,2,0,-0.002,0.191,0.167,0.003
0,3,0,-0.002,0.187,0.165,0.003
1,3,0,-0.002,0.341,0.169,0.002
0,4,0,-0.002,0.185,0.165,0.003
2,4,0,-0.002,0.343,0.169,0.002
0,5,0,-0.002,0.175,0.167,0.003
2,5,0,-0.002,0.332,0.168,0.003
0,6,0,-0.002,0.171,0.165,0.003
3,6,0,-0.002,0.341,0.169,0.003
0,7,0,-0.002,0.163,0.164,0.003
3,7,0,-0.002,0.32,0.167,0.004
0,8,0,-0.002,0.153,0.164,0.003
4,8,0,-0.002,0.311,0.168,0.004
0,9,0,-0.002,0.163,0.163,0.002
4,9,0,-0.002,0.327,0.173,0.006
