patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.835,1.494,0.052
0,2,0,-0.002,0.84,1.522,0.054
0,3,0,-0.002,0.842,1.541,0.052
1,3,0,-0.002,1.664,1.503,0.052
0,4,0,-0.002,0.845,1.533,0.056
2,4,0,-0.002,1.65,1.489,0.044
0,5,0,-0.002,0.84,1.545,0.054
2,5,0,-0.002,1.642,1.533,0.058
0,6,0,-0.002,0.837,1.557,0.054
3,6,0,-0.002,1.641,1.498,0.041
0,7,0,-0.002,0.837,1.526,0.054
3,7,0,-0.002,1.638,1.5,0.055
0,8,0,-0.002,0.835,1.542,0.054
4,8,0,-0.002,1.645,1.486,0.051
0,9,0,-0.002,0.839,1.553,0.056
4,9,0,-0.002,1.648,1.526,0.069
