patch,offset,limit,count-ms,lookup-mus,results
0,0,-0.002,0.0038599999999999997,0.03332,0.006900000000000001
1,0,-0.002,0.64588,0.7422799999999999,0.006900000000000001
2,0,-0.002,0.55298,0.7347400000000001,0.00722
3,0,-0.002,0.54912,0.7416799999999999,0.00722
4,0,-0.002,0.55108,0.7443200000000001,0.00722
5,0,-0.002,0.54388,0.72494,0.00722
6,0,-0.002,0.54104,0.72192,0.00724
7,0,-0.002,0.5416799999999999,0.72278,0.00722
8,0,-0.002,0.5388999999999999,0.72138,0.00722
9,0,-0.002,0.53598,0.7162999999999999,0.00724
