patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.955,1.015,0.006
0,2,0,-0.002,0.964,1.013,0.009
0,3,0,-0.002,0.966,1.015,0.009
1,3,0,-0.002,1.892,1.017,0.006
0,4,0,-0.002,0.967,1.027,0.009
2,4,0,-0.002,1.893,1.024,0.006
0,5,0,-0.002,0.966,1.028,0.009
2,5,0,-0.002,1.951,1.046,0.009
0,6,0,-0.002,0.969,1.029,0.009
3,6,0,-0.002,1.957,1.052,0.009
0,7,0,-0.002,0.971,1.033,0.009
3,7,0,-0.002,1.949,1.057,0.012
0,8,0,-0.002,0.968,1.035,0.009
4,8,0,-0.002,1.954,1.048,0.012
0,9,0,-0.002,0.968,1.037,0.009
4,9,0,-0.002,1.95,1.062,0.018
