patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.569,0.59,0.006
0,2,0,-0.002,0.567,0.593,0.006
0,3,0,-0.002,0.571,0.594,0.006
1,3,0,-0.002,1.1,0.604,0.006
0,4,0,-0.002,0.559,0.595,0.006
2,4,0,-0.002,1.097,0.604,0.006
0,5,0,-0.002,0.53,0.597,0.006
2,5,0,-0.002,1.101,0.604,0.009
0,6,0,-0.002,0.526,0.6,0.006
3,6,0,-0.002,1.101,0.602,0.009
0,7,0,-0.002,0.517,0.601,0.006
3,7,0,-0.002,1.047,0.607,0.012
0,8,0,-0.002,0.507,0.6,0.006
4,8,0,-0.002,1.058,0.604,0.012
0,9,0,-0.002,0.505,0.604,0.006
4,9,0,-0.002,1.016,0.614,0.018
