patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.31,0.311,0.004
0,2,0,-0.002,0.312,0.312,0.004
0,3,0,-0.002,0.318,0.312,0.004
1,3,0,-0.002,0.596,0.317,0.004
0,4,0,-0.002,0.319,0.309,0.004
2,4,0,-0.002,0.598,0.311,0.004
0,5,0,-0.002,0.31,0.311,0.004
2,5,0,-0.002,0.597,0.314,0.006
0,6,0,-0.002,0.297,0.312,0.004
3,6,0,-0.002,0.596,0.314,0.006
0,7,0,-0.002,0.282,0.313,0.004
3,7,0,-0.002,0.586,0.316,0.008
0,8,0,-0.002,0.269,0.316,0.004
4,8,0,-0.002,0.558,0.317,0.008
0,9,0,-0.002,0.257,0.316,0.004
4,9,0,-0.002,0.546,0.32,0.012
