patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-0.002,0.08843999999999999,0.05124,0
0,2,0,-0.002,0.08998,0.05172,0
0,3,0,-0.002,0.09015999999999999,0.0505,0
1,3,0,-0.002,0.14831999999999998,0.05114,0
0,4,0,-0.002,0.09,0.05126,0
2,4,0,-0.002,0.14798,0.05054,0
0,5,0,-0.002,0.08984,0.0509,0
2,5,0,-0.002,0.14748,0.05034,0
0,6,0,-0.002,0.09015999999999999,0.05098,0
3,6,0,-0.002,0.14846,0.05126,0
0,7,0,-0.002,0.08964,0.05064,0
3,7,0,-0.002,0.14758000000000002,0.05048,0
0,8,0,-0.002,0.09040000000000001,0.05042,0
4,8,0,-0.002,0.14796,0.05078,0
0,9,0,-0.002,0.08957999999999999,0.05108,0
4,9,0,-0.002,0.14722,0.05048,0
