patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.005,0.004,0.008,0.007,0.006,0.001,0.016,0.016,0.016
0,500,0.004,0.008,0.006,0.007,0.007,0,0,0,0
1,0,10.382,0.261,0.619,0.668,0.638,0.001,0.016,0.016,0.016
1,500,0.573,0.585,0.559,0.558,0.558,0,0,0,0
2,0,1.57,0.25,0.655,0.641,0.641,0.001,0.012,0.012,0.012
2,500,0.516,0.536,0.509,0.507,0.508,0,0,0,0
3,0,0.5,0.271,0.621,0.619,0.618,0.001,0.01,0.01,0.01
3,500,0.475,0.494,0.49,0.489,0.492,0,0,0,0
4,0,0.307,0.24,0.62,0.619,0.621,0.001,0.01,0.01,0.01
4,500,0.306,0.485,0.483,0.483,0.484,0,0,0,0
5,0,0.31,0.245,0.62,0.618,0.619,0.001,0.01,0.01,0.01
5,500,0.31,0.482,0.478,0.481,0.479,0,0,0,0
6,0,0.496,0.31,0.624,0.619,0.622,0.001,0.009,0.009,0.009
6,500,0.38,0.486,0.492,0.485,0.485,0,0,0,0
7,0,0.308,0.242,0.624,0.622,0.621,0.001,0.01,0.01,0.01
7,500,0.301,0.493,0.484,0.483,0.483,0,0,0,0
8,0,0.504,0.294,0.616,0.615,0.614,0.001,0.01,0.01,0.01
8,500,0.367,0.484,0.481,0.481,0.482,0,0,0,0
9,0,0.485,0.3,0.61,0.608,0.622,0.001,0.007,0.007,0.007
9,500,0.299,0.461,0.463,0.464,0.463,0,0,0,0
