patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,0.063,0.041,0.037,0.037,0.038,0,0,0,0
0,1,500,0.061,0.05,0.046,0.046,0.046,0,0,0,0
0,2,0,0.066,0.039,0.037,0.037,0.037,0,0,0,0
0,2,500,0.068,0.05,0.047,0.049,0.047,0,0,0,0
0,3,0,0.068,0.042,0.036,0.037,0.037,0,0,0,0
0,3,500,0.068,0.05,0.046,0.046,0.046,0,0,0,0
1,3,0,0.107,0.038,0.036,0.036,0.037,0,0,0,0
1,3,500,0.108,0.047,0.048,0.046,0.046,0,0,0,0
0,4,0,0.065,0.041,0.037,0.037,0.036,0,0,0,0
0,4,500,0.065,0.053,0.046,0.046,0.048,0,0,0,0
2,4,0,0.109,0.029,0.037,0.038,0.037,0,0,0,0
2,4,500,0.109,0.046,0.046,0.046,0.046,0,0,0,0
0,5,0,0.063,0.041,0.037,0.037,0.037,0,0,0,0
0,5,500,0.067,0.052,0.046,0.046,0.046,0,0,0,0
2,5,0,0.109,0.029,0.037,0.037,0.037,0,0,0,0
2,5,500,0.11,0.046,0.046,0.046,0.049,0,0,0,0
0,6,0,0.063,0.041,0.037,0.037,0.037,0,0,0,0
0,6,500,0.064,0.052,0.046,0.046,0.046,0,0,0,0
3,6,0,0.108,0.029,0.037,0.037,0.037,0,0,0,0
3,6,500,0.109,0.048,0.048,0.047,0.046,0,0,0,0
0,7,0,0.065,0.034,0.038,0.037,0.037,0,0,0,0
0,7,500,0.063,0.05,0.047,0.047,0.046,0,0,0,0
3,7,0,0.11,0.03,0.036,0.037,0.036,0,0,0,0
3,7,500,0.109,0.047,0.047,0.047,0.046,0,0,0,0
0,8,0,0.065,0.034,0.037,0.037,0.037,0,0,0,0
0,8,500,0.066,0.05,0.047,0.046,0.047,0,0,0,0
4,8,0,0.11,0.031,0.037,0.037,0.038,0,0,0,0
4,8,500,0.108,0.048,0.048,0.047,0.047,0,0,0,0
0,9,0,0.067,0.034,0.037,0.037,0.037,0,0,0,0
0,9,500,0.066,0.05,0.047,0.047,0.047,0,0,0,0
4,9,0,0.109,0.028,0.037,0.036,0.037,0,0,0,0
4,9,500,0.109,0.047,0.047,0.047,0.047,0,0,0,0
