patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1188,6631,2464,2419,2240,1,10,10,10
0,1,500,1888,3707,1954,1843,1760,0,0,0,0
0,2,0,1443,295,1668,1582,1545,1,15,15,15
0,2,500,1250,1472,1452,1386,1367,0,0,0,0
0,3,0,1032,266,1164,996,1002,1,14,14,14
0,3,500,805,996,992,979,980,0,0,0,0
1,3,0,1618,127,989,988,989,1,11,11,11
1,3,500,1616,1000,998,1018,1886,0,0,0,0
0,4,0,763,146,989,986,987,1,14,14,14
0,4,500,759,1003,1003,994,994,0,0,0,0
2,4,0,1576,157,1009,1007,1006,1,11,11,11
2,4,500,1562,1001,998,998,997,0,0,0,0
0,5,0,694,104,983,982,982,1,19,19,19
0,5,500,691,992,991,991,991,0,0,0,0
2,5,0,1512,66,1011,1007,1007,1,17,17,17
2,5,500,1519,1020,1017,1017,1012,0,0,0,0
0,6,0,650,91,985,984,983,1,15,15,15
0,6,500,648,992,992,991,992,0,0,0,0
3,6,0,1407,34,992,990,990,1,21,21,21
3,6,500,1408,1001,1025,1018,1017,0,0,0,0
0,7,0,617,71,1002,997,997,1,18,18,18
0,7,500,615,1011,1012,1023,1013,0,0,0,0
3,7,0,1388,35,1008,1000,989,1,27,27,27
3,7,500,1362,1001,999,1000,998,0,0,0,0
0,8,0,567,74,985,983,983,1,18,18,18
0,8,500,565,1053,1014,1014,1012,0,0,0,0
4,8,0,1295,35,1008,1008,1008,1,27,27,27
4,8,500,1299,1020,1017,1005,998,0,0,0,0
0,9,0,538,64,985,985,984,1,18,18,18
0,9,500,537,995,993,994,995,0,0,0,0
4,9,0,1249,34,991,989,1000,1,40,40,40
4,9,500,1269,1021,1017,1018,1019,0,0,0,0
