patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,919,86,939,930,911,1,6,6,6
0,1,500,820,897,868,848,848,0,0,0,0
0,2,0,721,89,797,797,767,1,7,7,7
0,2,500,672,772,755,735,736,0,0,0,0
0,3,0,602,109,691,693,692,1,7,7,7
0,3,500,566,677,678,677,580,0,0,0,0
1,3,0,900,73,508,511,509,1,6,6,6
1,3,500,911,518,518,517,518,0,0,0,0
0,4,0,493,107,501,499,500,1,6,6,6
0,4,500,495,509,509,508,508,0,0,0,0
2,4,0,933,121,510,509,508,1,6,6,6
2,4,500,935,520,517,517,517,0,0,0,0
0,5,0,395,121,500,501,501,1,7,7,7
0,5,500,399,512,510,512,511,0,0,0,0
2,5,0,846,121,508,508,508,1,9,9,9
2,5,500,838,519,518,518,518,0,0,0,0
0,6,0,375,144,503,503,504,1,7,7,7
0,6,500,370,515,514,513,513,0,0,0,0
3,6,0,785,175,509,508,509,1,9,9,9
3,6,500,857,576,571,571,571,0,0,0,0
0,7,0,375,192,579,578,578,1,7,7,7
0,7,500,366,569,568,567,568,0,0,0,0
3,7,0,754,174,509,507,507,1,12,12,12
3,7,500,759,518,518,517,517,0,0,0,0
0,8,0,317,187,506,507,505,1,7,7,7
0,8,500,321,514,515,514,514,0,0,0,0
4,8,0,839,249,559,524,513,1,12,12,12
4,8,500,782,517,525,524,518,0,0,0,0
0,9,0,292,212,509,510,509,1,7,7,7
0,9,500,287,518,518,517,517,0,0,0,0
4,9,0,752,226,526,507,515,1,18,18,18
4,9,500,757,528,520,527,524,0,0,0,0
