patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1743,144,1895,1898,1907,1,17,17,17
0,1,500,1740,1922,1924,1927,1921,0,0,0,0
0,2,0,1703,123,1918,1915,1916,1,26,26,26
0,2,500,2021,1946,1947,1963,2026,0,0,0,0
0,3,0,1671,107,2071,2080,2076,1,40,40,40
0,3,500,1664,2112,2116,2114,2116,0,0,0,0
1,3,0,3393,269,2151,2129,2125,1,21,21,21
1,3,500,3403,2250,2243,2238,2152,0,0,0,0
0,4,0,1264,141,987,1947,1947,1,50,63,63
0,4,500,1257,1980,2012,2038,2036,0,0,0,0
2,4,0,2920,286,2201,2153,2107,1,37,37,37
2,4,500,2914,2126,2193,2228,2224,0,0,0,0
0,5,0,1265,151,572,2001,1989,1,50,82,82
0,5,500,1218,2019,2017,2018,2119,0,0,0,0
2,5,0,2911,286,1336,2208,2148,1,50,54,54
2,5,500,2886,2134,2130,2206,2236,0,0,0,0
0,6,0,1237,152,572,2107,2042,1,50,98,98
0,6,500,1209,2079,2067,2059,2129,0,0,0,0
3,6,0,2861,348,1527,2224,2157,1,50,53,53
3,6,500,2858,2154,2134,2197,2226,0,0,0,0
0,7,0,1417,150,569,1806,2374,1,50,100,117
0,7,500,1413,2378,2375,2425,2493,0,0,0,0
3,7,0,3044,329,1272,2179,2099,1,50,74,74
3,7,500,3050,2126,2163,2227,2232,0,0,0,0
0,8,0,1237,153,573,1459,2150,1,50,100,123
0,8,500,1194,2179,2209,2276,2272,0,0,0,0
4,8,0,2493,437,1609,2095,2100,1,50,62,62
4,8,500,2415,2163,2233,2232,2246,0,0,0,0
0,9,0,1212,87,639,1522,2202,1,50,100,128
0,9,500,1215,2263,2324,2320,2305,0,0,0,0
4,9,0,2421,87,1435,2104,2101,1,50,79,79
4,9,500,2403,2235,2233,2231,2139,0,0,0,0
