patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1705,262,2422,2421,2404,1,25,25,25
0,1,500,1408,2421,2655,2419,2415,0,0,0,0
0,2,0,1381,183,1316,2459,2488,1,50,64,64
0,2,500,1395,2504,2503,2500,2502,0,0,0,0
0,3,0,1366,36,463,2469,2465,1,50,90,90
0,3,500,1373,2467,2484,2468,2497,0,0,0,0
1,3,0,2741,34,2540,2519,2492,1,40,40,40
1,3,500,2745,2548,2562,2545,2521,0,0,0,0
0,4,0,1354,33,494,1597,2583,1,50,100,116
0,4,500,1371,2600,2884,2596,2559,0,0,0,0
2,4,0,2708,33,2519,2535,2542,1,28,28,28
2,4,500,2730,2566,2521,2518,2552,0,0,0,0
0,5,0,1393,34,503,1544,2593,1,50,100,126
0,5,500,1399,2587,2579,2603,2612,0,0,0,0
2,5,0,2758,33,2550,2522,2493,1,39,39,39
2,5,500,2743,2551,2541,2537,2526,0,0,0,0
0,6,0,1317,34,495,1423,2573,1,50,100,138
0,6,500,1320,3136,2570,2546,2548,0,0,0,0
3,6,0,2629,458,2564,2546,2522,1,44,44,44
3,6,500,2665,2534,2550,2569,2551,0,0,0,0
0,7,0,1297,34,582,1521,2533,1,50,100,144
0,7,500,1292,2580,2584,2585,2556,0,0,0,0
3,7,0,2614,459,1762,2524,2538,1,50,70,70
3,7,500,2629,2542,2526,2533,2591,0,0,0,0
0,8,0,1412,34,694,1772,2599,1,50,100,148
0,8,500,2779,2610,2601,2636,2625,0,0,0,0
4,8,0,2723,69,1641,2511,2514,1,50,88,88
4,8,500,2714,2561,2548,2528,2548,0,0,0,0
0,9,0,1283,42,1377,1836,2593,1,50,100,147
0,9,500,1290,2614,2583,2587,2595,0,0,0,0
4,9,0,2603,70,1255,2024,2523,1,50,100,126
4,9,500,2585,2519,2530,2550,2557,0,0,0,0
