patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,979,205,1132,1132,1127,1,8,8,8
0,1,500,984,1157,1156,1156,1156,0,0,0,0
0,2,0,918,207,1132,1139,1126,1,10,10,10
0,2,500,919,1161,1162,1161,1161,0,0,0,0
0,3,0,870,101,1150,1154,1148,1,14,14,14
0,3,500,870,1179,1178,1177,1175,0,0,0,0
1,3,0,1816,100,1152,1150,1153,1,9,9,9
1,3,500,1815,1178,1179,1170,1171,0,0,0,0
0,4,0,816,94,1131,1131,1131,1,12,12,12
0,4,500,813,1161,1161,1160,1161,0,0,0,0
2,4,0,1693,97,1139,1138,1139,1,11,11,11
2,4,500,1705,1183,1182,1179,1183,0,0,0,0
0,5,0,755,109,1139,1139,1425,1,11,11,11
0,5,500,754,1173,1172,1171,1181,0,0,0,0
2,5,0,1638,103,1165,1151,1140,1,16,16,16
2,5,500,1636,1174,1167,1166,1165,0,0,0,0
0,6,0,696,103,1141,1138,1138,1,15,15,15
0,6,500,711,1168,1165,1166,1166,0,0,0,0
3,6,0,1527,113,1152,1151,1172,1,19,19,19
3,6,500,1549,1192,1183,1181,1182,0,0,0,0
0,7,0,654,92,1156,1152,1163,1,18,18,18
0,7,500,651,1174,1171,1173,1172,0,0,0,0
3,7,0,1478,113,1136,1136,1137,1,25,25,25
3,7,500,1480,1169,1170,1169,1188,0,0,0,0
0,8,0,601,69,1156,1155,1158,1,18,18,18
0,8,500,600,1192,1188,1183,1184,0,0,0,0
4,8,0,1383,70,1152,1155,1159,1,24,24,24
4,8,500,1384,1190,1178,1169,1168,0,0,0,0
0,9,0,526,69,1131,1131,1130,1,18,18,18
0,9,500,530,1162,1161,1160,1161,0,0,0,0
4,9,0,1303,52,1138,1138,1153,1,33,33,33
4,9,500,1310,1185,1181,1181,1180,0,0,0,0
