patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,4038,6678,7473,6369,5669,1,47,47,47
0,1,500,3873,4084,4055,4057,4061,0,0,0,0
0,2,0,3232,72,4020,4009,4023,1,46,46,46
0,2,500,3242,4083,4060,4060,4061,0,0,0,0
0,3,0,3040,80,2931,4042,4039,1,50,50,50
0,3,500,3034,4105,4075,4062,4062,0,0,0,0
1,3,0,6427,55,1461,4029,4073,1,50,52,52
1,3,500,7132,4527,4086,4074,4096,0,0,0,0
0,4,0,2842,59,4041,4047,4033,1,44,44,44
0,4,500,2844,4079,4057,4057,4055,0,0,0,0
2,4,0,6634,60,4438,4453,4457,1,43,43,43
2,4,500,6678,4364,4073,4076,4090,0,0,0,0
0,5,0,2691,158,4070,4062,4047,1,48,48,48
0,5,500,2651,4083,4072,4071,4068,0,0,0,0
2,5,0,5840,55,2072,4028,4036,1,50,63,63
2,5,500,5858,4079,4063,4070,4093,0,0,0,0
0,6,0,2755,172,4506,4416,4070,1,48,48,48
0,6,500,2739,4518,4519,4213,4135,0,0,0,0
3,6,0,5715,256,2547,4086,4050,1,50,60,60
3,6,500,5500,4062,4055,4078,4084,0,0,0,0
0,7,0,2337,109,3733,4072,4055,1,50,53,53
0,7,500,2326,4078,4078,4076,4079,0,0,0,0
3,7,0,5311,160,2502,4035,4032,1,50,80,80
3,7,500,5362,4095,4089,4108,4085,0,0,0,0
0,8,0,2168,98,4056,4029,4019,1,44,44,44
0,8,500,2155,4053,4049,4050,4049,0,0,0,0
4,8,0,4954,120,2877,4057,4061,1,50,81,81
4,8,500,5007,4080,4064,4080,4079,0,0,0,0
0,9,0,2055,72,4035,4020,4035,1,46,46,46
0,9,500,2058,4082,4079,4047,4048,0,0,0,0
4,9,0,4860,47,2794,3858,4050,1,50,100,109
4,9,500,6250,4072,4065,4085,4079,0,0,0,0
