patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1143,658,1482,1447,1387,1,5,5,5
0,1,500,987,1349,1304,1261,1219,0,0,0,0
0,2,0,832,187,1181,1147,1120,1,8,8,8
0,2,500,762,1123,1076,1056,1036,0,0,0,0
0,3,0,660,257,942,748,748,1,7,7,7
0,3,500,519,767,744,733,732,0,0,0,0
1,3,0,1141,201,799,799,799,1,5,5,5
1,3,500,1140,825,821,822,822,0,0,0,0
0,4,0,611,286,789,787,788,1,6,6,6
0,4,500,572,739,738,736,738,0,0,0,0
2,4,0,1091,184,771,767,770,1,5,5,5
2,4,500,1090,787,785,781,785,0,0,0,0
0,5,0,475,183,761,754,756,1,9,9,9
0,5,500,476,769,772,778,771,0,0,0,0
2,5,0,1121,222,876,874,870,1,8,8,8
2,5,500,1065,821,821,820,820,0,0,0,0
0,6,0,430,113,721,720,720,1,9,9,9
0,6,500,431,741,739,741,742,0,0,0,0
3,6,0,909,125,728,730,724,1,9,9,9
3,6,500,909,745,744,767,792,0,0,0,0
0,7,0,427,80,764,762,765,1,12,12,12
0,7,500,459,859,853,858,854,0,0,0,0
3,7,0,998,64,851,854,847,1,14,14,14
3,7,500,911,789,790,787,789,0,0,0,0
0,8,0,413,70,766,760,751,1,11,11,11
0,8,500,408,744,772,742,743,0,0,0,0
4,8,0,934,54,724,738,728,1,15,15,15
4,8,500,1258,1103,856,888,892,0,0,0,0
0,9,0,420,111,829,828,825,1,10,10,10
0,9,500,419,851,845,845,850,0,0,0,0
4,9,0,910,55,768,766,771,1,21,21,21
4,9,500,911,780,788,784,785,0,0,0,0
