patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,4,4,8,10,9,1,50,57,57
0,500,3,17,13,10,14,0,0,0,0
1,0,67049,242289,9702,13916,9773,1,50,57,57
1,500,9345,9268,9257,9256,9258,0,0,0,0
2,0,21620,6548,5289,9222,9238,1,50,57,57
2,500,8804,8743,8734,8733,8753,0,0,0,0
3,0,17443,6297,5201,8693,8688,1,50,57,57
3,500,8276,8196,8208,8209,8184,0,0,0,0
4,0,8683,4787,5254,8168,8144,1,50,57,57
4,500,7717,7665,7708,7680,7660,0,0,0,0
5,0,26036,7010,6024,7631,7656,1,50,57,57
5,500,7202,7147,7142,7142,7147,0,0,0,0
6,0,8959,4849,5355,7119,7105,1,50,57,57
6,500,6675,6622,6617,6619,6639,0,0,0,0
7,0,16847,7103,5985,6604,6595,1,50,57,57
7,500,6160,6102,6103,6091,6091,0,0,0,0
8,0,16623,7287,6290,6097,6101,1,50,57,57
8,500,5649,5600,5597,5612,5593,0,0,0,0
9,0,20586,7695,6910,5615,5577,1,50,57,57
9,500,5179,5124,5116,5096,5094,0,0,0,0
