patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,3,12,2629,19,1,50,66,66
0,500,3,13,18,12,18,0,0,0,0
1,0,34380,19406,140728,60897,4099,1,50,61,61
1,500,1762,1681,1601,1558,1487,0,0,0,0
2,0,5841,1102,2958,3982,3580,1,50,63,63
2,500,1541,1484,1443,1393,1702,0,0,0,0
3,0,9389,963,2791,3789,3459,1,50,62,62
3,500,1446,1440,1398,1342,1320,0,0,0,0
4,0,4941,604,2033,2925,3057,1,50,61,61
4,500,1113,1110,1075,1074,1032,0,0,0,0
5,0,17442,678,2557,3830,3485,1,50,65,65
5,500,1284,1285,1220,1466,1145,0,0,0,0
6,0,12665,558,2439,3719,3369,1,50,64,64
6,500,1214,1181,1153,1105,1100,0,0,0,0
7,0,8049,446,2814,3740,3347,1,50,65,65
7,500,1160,1132,1107,1070,1043,0,0,0,0
8,0,16772,344,2620,3741,4231,1,50,62,62
8,500,1097,1103,1057,1033,1015,0,0,0,0
9,0,2984,183,1835,2676,2524,1,50,62,62
9,500,787,800,793,759,760,0,0,0,0
