patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,4,2,11,13,12,1,50,65,65
0,500,2,15,14,14,14,0,0,0,0
1,0,24812,28041,210702,6475,5569,1,50,70,70
1,500,3669,3422,3196,3011,2513,0,0,0,0
2,0,7838,226,4293,4391,4057,1,50,64,64
2,500,56,2233,2181,2180,2180,0,0,0,0
3,0,6038,147,4865,4913,4468,1,50,59,59
3,500,67,3061,2750,2184,2184,0,0,0,0
4,0,99,147,2727,2977,2981,1,50,63,63
4,500,82,2199,2197,2204,2197,0,0,0,0
5,0,3531,139,2773,3017,3015,1,50,63,63
5,500,65,2215,2177,2177,2179,0,0,0,0
6,0,4978,139,4005,4586,4223,1,50,71,71
6,500,52,2697,2179,2178,2179,0,0,0,0
7,0,6037,155,4375,4736,4326,1,50,74,74
7,500,75,2970,2305,2190,2189,0,0,0,0
8,0,59,145,2553,2989,2986,1,50,75,75
8,500,64,2180,2169,2167,2168,0,0,0,0
9,0,10344,3138,4641,4832,4411,1,50,73,73
9,500,43,3020,2646,2165,2165,0,0,0,0
