patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,2108,2362,2938,19,1,50,70,70
0,500,3,16,17,10,14,0,0,0,0
1,0,35019,52871,240261,10104,8254,1,50,70,70
1,500,5556,4564,4559,4560,4563,0,0,0,0
2,0,27059,2501,3428,7773,6349,1,50,94,94
2,500,4430,4381,4372,4371,4369,0,0,0,0
3,0,25300,1768,3228,7385,7127,1,50,94,94
3,500,4238,4206,4187,4185,4199,0,0,0,0
4,0,4618,1521,2551,5415,5401,1,50,88,88
4,500,4626,4583,4576,4575,4572,0,0,0,0
5,0,25206,1137,4171,6729,5695,1,50,74,74
5,500,3931,3880,3889,3871,3873,0,0,0,0
6,0,22195,1072,4290,6714,5834,1,50,76,76
6,500,3833,3805,3820,3800,3790,0,0,0,0
7,0,16061,26520,46809,9667,7849,1,50,92,92
7,500,5295,4480,3637,3643,3633,0,0,0,0
8,0,25520,616,3939,7306,6384,1,50,89,89
8,500,3711,3473,3470,3469,3470,0,0,0,0
9,0,16576,327,3657,6759,5742,1,50,92,92
9,500,3372,3352,3329,3340,3336,0,0,0,0
