patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,1701,16,9,7,1,50,65,65
0,500,1,12,20,11,15,0,0,0,0
1,0,23280,14407,210561,60446,5146,1,50,85,85
1,500,2557,2447,2311,2196,2087,0,0,0,0
2,0,10173,582,2315,4962,4388,1,50,85,85
2,500,2253,2179,2082,1983,1914,0,0,0,0
3,0,13760,488,2136,4697,4187,1,50,85,85
3,500,2144,2101,1996,1920,1855,0,0,0,0
4,0,1797,338,1320,2924,2756,1,50,85,85
4,500,1431,1438,1438,1437,1437,0,0,0,0
5,0,10031,2451,3588,4438,4021,1,50,88,88
5,500,1923,1863,1801,1726,1683,0,0,0,0
6,0,11623,3501,3299,4267,3864,1,50,94,94
6,500,2016,1947,1861,1792,1741,0,0,0,0
7,0,13261,2133,3435,4432,3975,1,50,88,88
7,500,2054,1971,1898,1831,1755,0,0,0,0
8,0,13081,2070,3337,4361,3935,1,50,88,88
8,500,2006,1931,1851,1801,1716,0,0,0,0
9,0,11827,2068,3441,4421,3958,1,50,66,66
9,500,2007,1946,1859,1784,1733,0,0,0,0
