patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,8,3003,3185,13,14,1,42,42,42
0,500,4,20,16,10,14,0,0,0,0
1,0,38524,88345,224401,7590,6474,1,42,42,42
1,500,4927,4292,3384,3403,3677,0,0,0,0
2,0,20725,3063,4435,6513,6008,1,50,56,56
2,500,4398,3298,3212,3212,3214,0,0,0,0
3,0,22287,2241,3908,5531,5007,1,50,56,56
3,500,3318,3028,3021,3022,3023,0,0,0,0
4,0,2955,1091,4360,3478,3478,1,49,49,49
4,500,2931,2895,2890,2890,2891,0,0,0,0
5,0,13323,1481,3902,4879,4464,1,50,56,56
5,500,2993,2637,2633,2633,2634,0,0,0,0
6,0,19469,1285,4343,5028,4565,1,50,56,56
6,500,3395,2898,2438,2472,2460,0,0,0,0
7,0,18956,883,4299,4685,4267,1,50,56,56
7,500,3171,2880,2252,2251,2253,0,0,0,0
8,0,21108,702,5488,5374,4747,1,50,56,56
8,500,3387,3147,2972,2824,2262,0,0,0,0
9,0,20439,302,5357,4816,4353,1,50,56,56
9,500,3049,2885,2733,2606,2083,0,0,0,0
