patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,5,2754,19,24,15,1,50,77,77
0,500,2,19,17,17,17,0,0,0,0
1,0,24055,53501,248236,5917,5001,1,50,68,68
1,500,2448,2344,2235,2121,2393,0,0,0,0
2,0,1896,313,1522,2393,2062,1,50,57,57
2,500,1381,1356,1353,1354,1354,0,0,0,0
3,0,10333,411,2969,2969,2799,1,50,51,51
3,500,1990,1927,1862,1780,1497,0,0,0,0
4,0,3194,224,985,1827,1831,1,50,68,68
4,500,1362,1330,1326,1322,1322,0,0,0,0
5,0,1396,267,877,1635,1633,1,50,66,66
5,500,1397,1358,1359,1356,1354,0,0,0,0
6,0,5304,261,828,1616,1324,1,50,57,57
6,500,1320,1280,1278,1278,1277,0,0,0,0
7,0,7699,323,1418,2174,2079,1,50,66,66
7,500,1926,1847,1787,1738,1674,0,0,0,0
8,0,1489,242,934,1400,1404,1,50,78,78
8,500,1400,1356,1362,1357,1355,0,0,0,0
9,0,7601,1058,1901,2143,2047,1,50,62,62
9,500,1916,1838,1782,1707,1664,0,0,0,0
