patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,496,2788,529,525,525,1,2,2,2
0,1,500,503,562,517,519,518,0,0,0,0
0,2,0,463,158,477,460,459,1,3,3,3
0,2,500,433,488,480,455,458,0,0,0,0
0,3,0,388,159,430,427,405,1,3,3,3
0,3,500,366,431,431,429,417,0,0,0,0
1,3,0,700,138,387,389,387,1,2,2,2
1,3,500,676,391,390,389,389,0,0,0,0
0,4,0,319,145,344,344,344,1,3,3,3
0,4,500,300,368,366,361,347,0,0,0,0
2,4,0,589,144,334,332,332,1,2,2,2
2,4,500,574,337,336,336,336,0,0,0,0
0,5,0,264,141,312,299,299,1,3,3,3
0,5,500,252,318,318,318,318,0,0,0,0
2,5,0,514,127,291,300,290,1,3,3,3
2,5,500,507,309,275,231,231,0,0,0,0
0,6,0,206,106,216,216,216,1,3,3,3
0,6,500,207,229,229,229,229,0,0,0,0
3,6,0,397,113,233,218,217,1,3,3,3
3,6,500,396,231,231,232,231,0,0,0,0
0,7,0,198,114,217,216,216,1,3,3,3
0,7,500,196,230,229,229,230,0,0,0,0
3,7,0,388,113,219,218,218,1,4,4,4
3,7,500,390,232,230,230,232,0,0,0,0
0,8,0,192,122,215,216,215,1,3,3,3
0,8,500,192,230,229,229,229,0,0,0,0
4,8,0,375,130,218,217,219,1,4,4,4
4,8,500,375,240,234,231,231,0,0,0,0
0,9,0,186,131,214,215,215,1,3,3,3
0,9,500,185,229,229,229,228,0,0,0,0
4,9,0,368,130,218,218,219,1,6,6,6
4,9,500,369,231,232,232,231,0,0,0,0
