patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,231,153,218,218,218,1,1,1,1
0,1,500,216,230,229,231,229,0,0,0,0
0,2,0,235,83,222,207,203,1,2,2,2
0,2,500,219,217,215,215,214,0,0,0,0
0,3,0,185,152,200,202,203,1,2,2,2
0,3,500,171,199,198,200,198,0,0,0,0
1,3,0,358,71,193,189,189,1,2,2,2
1,3,500,359,188,188,193,191,0,0,0,0
0,4,0,172,150,182,180,181,1,2,2,2
0,4,500,171,192,191,193,179,0,0,0,0
2,4,0,342,130,172,169,169,1,2,2,2
2,4,500,346,183,178,178,179,0,0,0,0
0,5,0,149,109,160,160,160,1,3,3,3
0,5,500,138,173,168,169,168,0,0,0,0
2,5,0,314,119,161,161,162,1,3,3,3
2,5,500,302,162,161,160,162,0,0,0,0
0,6,0,148,81,158,158,159,1,3,3,3
0,6,500,147,167,166,166,166,0,0,0,0
3,6,0,272,84,147,145,146,1,3,3,3
3,6,500,272,156,153,154,154,0,0,0,0
0,7,0,139,72,147,147,148,1,3,3,3
0,7,500,135,148,147,147,148,0,0,0,0
3,7,0,255,69,138,138,139,1,4,4,4
3,7,500,255,147,145,145,145,0,0,0,0
0,8,0,123,93,131,131,131,1,3,3,3
0,8,500,117,140,139,138,138,0,0,0,0
4,8,0,241,65,133,132,132,1,4,4,4
4,8,500,240,140,140,134,133,0,0,0,0
0,9,0,121,66,131,131,132,1,3,3,3
0,9,500,121,138,138,138,138,0,0,0,0
4,9,0,237,58,128,127,127,1,6,6,6
4,9,500,234,102,101,101,100,0,0,0,0
