patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,352,63,341,342,340,1,2,2,2
0,1,500,340,362,363,363,361,0,0,0,0
0,2,0,347,62,344,347,343,1,3,3,3
0,2,500,337,340,340,339,339,0,0,0,0
0,3,0,308,68,321,313,301,1,3,3,3
0,3,500,288,320,318,319,319,0,0,0,0
1,3,0,575,66,287,288,286,1,2,2,2
1,3,500,546,305,303,294,286,0,0,0,0
0,4,0,265,84,267,266,267,1,2,2,2
0,4,500,265,283,282,267,266,0,0,0,0
2,4,0,502,82,257,257,256,1,2,2,2
2,4,500,504,260,257,258,258,0,0,0,0
0,5,0,207,75,244,242,242,1,3,3,3
0,5,500,207,253,243,244,244,0,0,0,0
2,5,0,425,75,233,231,233,1,3,3,3
2,5,500,419,235,235,235,235,0,0,0,0
0,6,0,218,86,220,219,218,1,2,2,2
0,6,500,217,232,220,221,221,0,0,0,0
3,6,0,405,89,212,213,211,1,3,3,3
3,6,500,405,222,214,214,215,0,0,0,0
0,7,0,154,78,203,201,203,1,3,3,3
0,7,500,154,216,214,217,160,0,0,0,0
3,7,0,292,64,153,153,152,1,4,4,4
3,7,500,291,161,165,161,160,0,0,0,0
0,8,0,144,66,152,153,152,1,3,3,3
0,8,500,144,160,160,161,161,0,0,0,0
4,8,0,292,79,152,153,152,1,4,4,4
4,8,500,292,162,162,161,161,0,0,0,0
0,9,0,137,72,151,152,151,1,3,3,3
0,9,500,136,160,159,161,159,0,0,0,0
4,9,0,284,79,153,153,152,1,6,6,6
4,9,500,285,161,162,161,162,0,0,0,0
