patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,303,49,273,265,265,1,2,2,2
0,1,500,314,291,288,295,290,0,0,0,0
0,2,0,308,76,267,266,273,1,2,2,2
0,2,500,308,293,297,289,290,0,0,0,0
0,3,0,314,75,267,274,267,1,2,2,2
0,3,500,307,300,290,289,299,0,0,0,0
1,3,0,595,63,271,269,276,1,2,2,2
1,3,500,585,304,293,292,300,0,0,0,0
0,4,0,311,88,278,269,267,1,2,2,2
0,4,500,316,294,304,290,290,0,0,0,0
2,4,0,592,93,282,288,277,1,2,2,2
2,4,500,597,306,310,301,301,0,0,0,0
0,5,0,312,106,285,287,280,1,2,2,2
0,5,500,320,312,302,309,300,0,0,0,0
2,5,0,599,94,279,284,279,1,3,3,3
2,5,500,598,308,300,309,299,0,0,0,0
0,6,0,327,119,279,277,278,1,2,2,2
0,6,500,318,307,303,302,303,0,0,0,0
3,6,0,591,121,278,275,293,1,3,3,3
3,6,500,588,295,293,292,293,0,0,0,0
0,7,0,311,128,271,273,272,1,2,2,2
0,7,500,312,297,295,293,292,0,0,0,0
3,7,0,587,116,270,269,270,1,4,4,4
3,7,500,586,297,292,292,294,0,0,0,0
0,8,0,313,140,271,271,270,1,2,2,2
0,8,500,311,298,293,294,294,0,0,0,0
4,8,0,589,145,280,278,277,1,4,4,4
4,8,500,590,303,299,300,299,0,0,0,0
0,9,0,317,160,286,280,279,1,2,2,2
0,9,500,321,321,304,303,305,0,0,0,0
4,9,0,593,148,281,279,281,1,6,6,6
4,9,500,591,334,303,301,301,0,0,0,0
