patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,426,37,429,429,429,1,6,6,6
0,1,500,428,443,443,443,442,0,0,0,0
0,2,0,433,37,433,434,433,1,7,7,7
0,2,500,435,445,445,445,444,0,0,0,0
0,3,0,413,59,441,437,434,1,7,7,7
0,3,500,414,448,446,447,446,0,0,0,0
1,3,0,810,58,445,443,442,1,6,6,6
1,3,500,808,458,455,455,454,0,0,0,0
0,4,0,428,103,438,440,435,1,6,6,6
0,4,500,430,447,445,445,445,0,0,0,0
2,4,0,826,101,442,442,441,1,6,6,6
2,4,500,830,454,464,460,452,0,0,0,0
0,5,0,371,101,445,436,443,1,7,7,7
0,5,500,367,456,447,454,447,0,0,0,0
2,5,0,773,108,445,451,442,1,9,9,9
2,5,500,784,463,455,461,460,0,0,0,0
0,6,0,355,127,447,439,447,1,7,7,7
0,6,500,355,463,450,456,457,0,0,0,0
3,6,0,735,158,445,451,443,1,9,9,9
3,6,500,743,464,454,460,460,0,0,0,0
0,7,0,332,147,447,439,451,1,7,7,7
0,7,500,332,460,451,452,453,0,0,0,0
3,7,0,710,149,443,443,442,1,12,12,12
3,7,500,711,456,455,453,454,0,0,0,0
0,8,0,312,167,441,440,440,1,7,7,7
0,8,500,309,456,453,453,452,0,0,0,0
4,8,0,712,197,443,443,443,1,12,12,12
4,8,500,712,456,453,454,454,0,0,0,0
0,9,0,294,191,442,442,442,1,7,7,7
0,9,500,288,457,454,455,455,0,0,0,0
4,9,0,688,197,444,442,442,1,18,18,18
4,9,500,689,455,454,454,453,0,0,0,0
