patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,228,76,232,226,226,1,2,2,2
0,1,500,219,239,240,240,238,0,0,0,0
0,2,0,220,81,224,203,170,1,2,2,2
0,2,500,199,176,179,178,179,0,0,0,0
0,3,0,202,67,169,171,170,1,2,2,2
0,3,500,198,178,179,180,179,0,0,0,0
1,3,0,367,62,169,169,168,1,2,2,2
1,3,500,361,179,178,179,179,0,0,0,0
0,4,0,201,72,167,168,167,1,2,2,2
0,4,500,198,177,175,176,175,0,0,0,0
2,4,0,362,75,171,171,169,1,2,2,2
2,4,500,359,179,178,177,199,0,0,0,0
0,5,0,199,79,168,168,168,1,2,2,2
0,5,500,199,178,178,177,178,0,0,0,0
2,5,0,364,75,174,173,173,1,3,3,3
2,5,500,361,182,198,181,182,0,0,0,0
0,6,0,203,87,170,172,172,1,2,2,2
0,6,500,201,180,181,182,181,0,0,0,0
3,6,0,363,92,173,173,174,1,3,3,3
3,6,500,362,183,182,183,181,0,0,0,0
0,7,0,203,93,172,174,172,1,2,2,2
0,7,500,201,181,183,182,182,0,0,0,0
3,7,0,366,89,169,169,169,1,4,4,4
3,7,500,363,179,178,177,179,0,0,0,0
0,8,0,201,99,171,170,171,1,2,2,2
0,8,500,199,179,178,179,178,0,0,0,0
4,8,0,360,101,170,169,170,1,4,4,4
4,8,500,361,180,177,178,177,0,0,0,0
0,9,0,201,105,170,170,170,1,2,2,2
0,9,500,200,180,179,178,179,0,0,0,0
4,9,0,364,103,174,175,174,1,6,6,6
4,9,500,363,183,183,182,182,0,0,0,0
