patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,3540,2728,3006,3783,3782,1,50,83,83
0,1,500,3902,4175,4181,4286,4175,0,0,0,0
0,2,0,2710,2468,2846,4269,4267,1,50,78,78
0,2,500,2713,4274,4275,4276,4276,0,0,0,0
0,3,0,1910,40,1409,1613,3773,1,50,100,289
0,3,500,2097,4169,4170,4166,3786,0,0,0,0
1,3,0,5433,48,427,818,3751,1,50,100,324
1,3,500,6567,3751,3758,3751,3754,0,0,0,0
0,4,0,3938,2700,2920,4131,4130,1,50,93,93
0,4,500,3932,4130,4130,4129,4130,0,0,0,0
2,4,0,6250,30,411,801,3745,1,50,100,210
2,4,500,6246,3988,3754,3754,3753,0,0,0,0
0,5,0,1691,2587,2787,2995,3770,1,50,100,181
0,5,500,1854,4159,4163,4158,4154,0,0,0,0
2,5,0,4365,30,411,800,3747,1,50,100,210
2,5,500,4369,3754,3752,3751,3751,0,0,0,0
0,6,0,2735,2283,2770,2680,3759,1,50,100,107
0,6,500,3021,4145,4149,4150,3987,0,0,0,0
3,6,0,4615,29,2914,3304,3742,1,50,100,141
3,6,500,5073,4134,3991,3750,3749,0,0,0,0
0,7,0,3583,2280,2480,3760,3761,1,50,99,99
0,7,500,4137,3760,3761,3760,3760,0,0,0,0
3,7,0,5466,30,2917,3305,3741,1,50,100,141
3,7,500,5459,3742,3746,3746,3739,0,0,0,0
0,8,0,1895,1734,1931,2141,3883,1,50,100,272
0,8,500,1893,3875,3879,3872,5227,0,0,0,0
4,8,0,5432,25,2905,3734,3735,1,50,97,97
4,8,500,5980,4122,4123,4126,4127,0,0,0,0
0,9,0,2724,1735,1937,2145,3801,1,50,100,244
0,9,500,2720,3810,3809,3823,3817,0,0,0,0
4,9,0,6907,20,3998,3899,4121,1,50,100,113
4,9,500,6270,3740,3740,3737,3736,0,0,0,0
