patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,3,3,3,3,3,1,3,3,3
0,500,3,8,6,7,7,0,0,0,0
1,0,12772,7464,536,527,528,1,2,2,2
1,500,395,409,393,373,374,0,0,0,0
2,0,361,359,485,472,450,1,4,4,4
2,500,335,347,345,345,347,0,0,0,0
3,0,3157,336,387,388,387,1,2,2,2
3,500,286,299,294,285,275,0,0,0,0
4,0,294,246,392,396,390,1,5,5,5
4,500,292,287,285,287,288,0,0,0,0
5,0,279,231,372,367,349,1,4,4,4
5,500,261,272,267,268,269,0,0,0,0
6,0,262,215,342,332,334,1,5,5,5
6,500,247,257,256,254,255,0,0,0,0
7,0,2603,216,273,273,274,1,3,3,3
7,500,198,207,206,204,204,0,0,0,0
8,0,3511,226,282,282,281,1,3,3,3
8,500,205,215,214,210,211,0,0,0,0
9,0,2091,238,304,302,302,1,3,3,3
9,500,223,232,229,228,231,0,0,0,0
