patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1,5,13,3,3,1,8,8,8
0,500,2,7,5,8,5,0,0,0,0
1,0,17446,2781,13144,1787,1701,1,7,7,7
1,500,1370,1371,1314,1270,1240,0,0,0,0
2,0,1153,206,1313,1252,1245,1,7,7,7
2,500,1017,1037,1005,989,981,0,0,0,0
3,0,940,184,1105,1053,1053,1,16,16,16
3,500,877,883,871,660,659,0,0,0,0
4,0,674,129,759,762,757,1,16,16,16
4,500,731,733,726,727,726,0,0,0,0
5,0,672,129,759,757,754,1,17,17,17
5,500,670,662,659,659,659,0,0,0,0
6,0,670,128,754,757,756,1,17,17,17
6,500,729,730,729,729,729,0,0,0,0
7,0,693,205,761,761,762,1,15,15,15
7,500,676,666,659,662,666,0,0,0,0
8,0,677,189,761,761,763,1,16,16,16
8,500,736,709,665,662,654,0,0,0,0
9,0,675,192,761,758,758,1,16,16,16
9,500,674,665,663,662,655,0,0,0,0
