patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,2,4,4,4,2,1,1,1,1
0,500,3,4,8,7,7,0,0,0,0
1,0,11358,155,241,440,468,1,1,1,1
1,500,435,460,455,445,427,0,0,0,0
2,0,4138,300,434,435,434,1,1,1,1
2,500,406,428,401,402,401,0,0,0,0
3,0,2152,285,394,392,414,1,1,1,1
3,500,371,394,366,366,365,0,0,0,0
4,0,4784,277,454,544,541,1,1,1,1
4,500,514,535,491,492,490,0,0,0,0
5,0,2579,382,484,482,482,1,1,1,1
5,500,454,447,440,438,440,0,0,0,0
6,0,4227,371,506,505,503,1,1,1,1
6,500,473,497,455,457,455,0,0,0,0
7,0,3485,395,450,447,449,1,1,1,1
7,500,419,423,408,410,410,0,0,0,0
8,0,5660,429,471,466,473,1,1,1,1
8,500,432,435,420,419,419,0,0,0,0
9,0,5380,429,451,451,450,1,1,1,1
9,500,416,448,404,405,404,0,0,0,0
