patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,4,3,1,1,3,1,1,1,1
0,500,1,7,5,4,6,0,0,0,0
1,0,14061,112,187,196,399,1,1,1,1
1,500,370,394,394,388,389,0,0,0,0
2,0,2818,244,383,380,380,1,1,1,1
2,500,348,378,371,368,348,0,0,0,0
3,0,7951,334,491,490,499,1,1,1,1
3,500,455,446,442,440,439,0,0,0,0
4,0,4846,323,475,478,473,1,1,1,1
4,500,435,465,428,424,423,0,0,0,0
5,0,4015,326,423,424,421,1,1,1,1
5,500,385,410,402,376,379,0,0,0,0
6,0,5750,361,448,444,444,1,1,1,1
6,500,401,416,394,397,394,0,0,0,0
7,0,14279,353,423,431,426,1,1,1,1
7,500,385,415,400,379,381,0,0,0,0
8,0,7363,346,409,410,411,1,1,1,1
8,500,367,403,395,377,364,0,0,0,0
9,0,404,348,367,362,356,1,1,1,1
9,500,298,327,325,322,325,0,0,0,0
