patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,3,3,5,4,3,1,1,1,1
0,500,2,9,7,7,10,0,0,0,0
1,0,5106,232,395,494,495,1,1,1,1
1,500,459,477,470,435,437,0,0,0,0
2,0,424,311,454,438,419,1,1,1,1
2,500,390,407,407,405,392,0,0,0,0
3,0,366,282,391,391,392,1,1,1,1
3,500,361,358,357,356,356,0,0,0,0
4,0,348,277,372,350,349,1,1,1,1
4,500,325,338,337,334,337,0,0,0,0
5,0,309,263,332,330,332,1,1,1,1
5,500,307,321,307,301,300,0,0,0,0
6,0,290,264,315,313,311,1,1,1,1
6,500,283,287,286,285,285,0,0,0,0
7,0,278,260,295,295,282,1,1,1,1
7,500,262,275,271,272,274,0,0,0,0
8,0,263,258,282,270,271,1,1,1,1
8,500,252,261,260,260,260,0,0,0,0
9,0,252,261,259,258,260,1,1,1,1
9,500,242,251,249,249,249,0,0,0,0
