patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,4,7,3,3,2,1,2,2,2
0,500,1,7,6,4,4,0,0,0,0
1,0,15944,3604,619,624,622,1,2,2,2
1,500,583,562,559,558,558,0,0,0,0
2,0,5915,404,627,629,622,1,2,2,2
2,500,554,568,564,563,539,0,0,0,0
3,0,6328,398,844,843,831,1,2,2,2
3,500,727,746,744,691,689,0,0,0,0
4,0,705,547,711,709,710,1,2,2,2
4,500,627,637,634,626,593,0,0,0,0
5,0,3547,405,541,539,546,1,2,2,2
5,500,490,496,489,492,491,0,0,0,0
6,0,3990,381,483,482,481,1,2,2,2
6,500,449,449,430,432,431,0,0,0,0
7,0,3934,365,432,434,434,1,2,2,2
7,500,402,412,389,386,385,0,0,0,0
8,0,2118,357,398,397,397,1,2,2,2
8,500,367,376,353,351,353,0,0,0,0
9,0,4729,339,357,354,355,1,2,2,2
9,500,326,334,325,313,315,0,0,0,0
