patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,3,2,71,86,1337,1,50,100,1554
0,500,5,491,511,559,1466,1,50,100,1054
1,0,19752,171,1352,2532,28450,1,50,100,1631
1,500,2546,1365,2106,2834,16820,1,50,100,1131
2,0,2548,262,875,1515,21289,1,50,100,1364
2,500,2565,1540,2897,3453,15607,1,50,100,898
3,0,2527,610,1269,5333,18239,1,50,100,968
3,500,2527,3104,3663,4274,14338,1,50,100,724
4,0,82,113,721,1429,21645,1,50,100,1302
4,500,72,3265,3531,3780,4772,1,50,100,103
5,0,136,147,738,1461,22093,1,50,100,1436
5,500,142,3339,3610,3850,4897,1,50,100,221
6,0,2782,511,1144,1940,21095,1,50,100,1100
6,500,3048,4648,4966,4868,4514,1,1,1,1
7,0,44,108,730,1438,22092,1,50,100,1310
7,500,42,2956,3179,3395,4313,1,50,100,117
8,0,2512,650,4116,5486,18292,1,50,100,872
8,500,2512,3155,3783,4387,14281,1,50,100,627
9,0,24022,8641,7340,5554,5092,0,0,0,0
9,500,4159,6088,6086,6087,6088,0,0,0,0
