patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,8,2,65,83,1291,1,50,100,1550
0,500,4,432,447,488,1281,1,50,100,1050
1,0,20705,124,1024,1931,65455,1,50,100,1627
1,500,2506,1318,2070,2814,16918,1,50,100,1127
2,0,2515,258,869,1509,21342,1,50,100,1360
2,500,2536,1477,2807,3377,15453,1,50,100,894
3,0,2486,586,1250,5326,18236,1,50,100,964
3,500,2744,3295,3914,4590,15588,1,50,100,720
4,0,77,111,724,1438,21648,1,50,100,1298
4,500,74,3177,3398,3623,4648,1,50,100,103
5,0,141,147,742,1450,21781,1,50,100,1432
5,500,135,2940,3143,3349,4313,1,50,100,221
6,0,2804,493,1105,1872,20564,1,50,100,1096
6,500,2719,4090,4384,4387,4386,1,1,1,1
7,0,44,105,716,1441,21942,1,50,100,1306
7,500,45,3168,3382,3601,4631,1,50,100,117
8,0,2468,627,4093,5448,18212,1,50,100,868
8,500,2472,3033,3661,4264,14043,1,50,100,623
9,0,14894,7934,6820,4950,4949,0,0,0,0
9,500,3685,5355,5356,5355,5354,0,0,0,0
