patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,2.488,7.39,6.23,8.744,6.878,0.001,0.05,0.1,0.101
0,1,500,2.489,4.967,4.959,4.957,4.956,0,0,0,0
0,2,0,2.71,2.468,3.151,5.397,5.391,0.001,0.05,0.091,0.091
0,2,500,2.737,4.979,5.014,5.025,4.975,0,0,0,0
0,3,0,2.524,0.152,1.789,2.571,5.612,0.001,0.05,0.1,0.301
0,3,500,2.476,5.316,5.163,5.166,5.165,0,0,0,0
1,3,0,5.024,0.171,0.62,1.054,5.086,0.001,0.05,0.1,0.346
1,3,500,5.027,5.095,5.082,5.074,5.076,0,0,0,0
0,4,0,0.073,2.698,3.167,4.351,5.034,0.001,0.05,0.1,0.121
0,4,500,0.074,5.505,5.49,5.464,5.462,0,0,0,0
2,4,0,4.72,0.029,0.751,1.17,5.066,0.001,0.05,0.1,0.261
2,4,500,4.705,5.084,5.081,5.088,5.09,0,0,0,0
0,5,0,0.129,2.587,3.474,7.247,8.429,0.001,0.05,0.1,0.224
0,5,500,0.138,7.16,9.318,9.851,8.463,0,0,0,0
2,5,0,4.365,0.029,0.728,1.152,5.955,0.001,0.05,0.1,0.261
2,5,500,4.369,5.499,9.038,9.745,8.157,0,0,0,0
0,6,0,3.23,2.283,3.742,5.397,7.512,0.001,0.05,0.1,0.107
0,6,500,3.225,9.369,9.162,7.485,6.474,0,0,0,0
3,6,0,5.246,0.029,2.914,3.887,5.069,0.001,0.05,0.1,0.223
3,6,500,5.383,5.482,5.478,5.484,5.483,0,0,0,0
0,7,0,0.065,2.28,3.304,6.419,7.823,0.001,0.05,0.1,0.132
0,7,500,0.063,5.899,5.053,5.054,5.061,0,0,0,0
3,7,0,4.722,0.03,2.917,3.877,5.077,0.001,0.05,0.1,0.225
3,7,500,4.72,5.469,5.835,5.476,5.474,0,0,0,0
0,8,0,2.51,1.734,2.373,2.725,6.498,0.001,0.05,0.1,0.3
0,8,500,2.479,5.274,5.273,5.275,5.826,0,0,0,0
4,8,0,4.723,0.166,3.675,4.875,5.729,0.001,0.05,0.1,0.15
4,8,500,4.712,5.063,5.061,5.057,5.061,0,0,0,0
0,9,0,3.683,1.735,2.206,2.691,6.265,0.001,0.05,0.1,0.269
0,9,500,3.775,5.936,5.611,5.612,5.613,0,0,0,0
4,9,0,4.721,0.095,3.339,4.208,5.594,0.001,0.05,0.1,0.173
4,9,500,4.719,5.062,5.058,5.059,5.185,0,0,0,0
