patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,2497,12542,5556,8744,6022,1,50,100,101
0,1,500,2489,4885,4888,4877,4889,0,0,0,0
0,2,0,2504,2906,3118,4872,4874,1,50,94,94
0,2,500,2494,4881,4878,4884,4886,0,0,0,0
0,3,0,2720,152,1789,2023,5612,1,50,100,360
0,3,500,2473,5099,5100,5102,5117,0,0,0,0
1,3,0,4943,178,594,990,4970,1,50,100,365
1,3,500,4932,4974,4980,4973,4975,0,0,0,0
0,4,0,75,2966,3167,3374,4985,1,50,100,121
0,4,500,70,5505,5490,5464,5462,0,0,0,0
2,4,0,2537,18,421,815,4975,1,50,100,263
2,4,500,2539,4981,4975,4978,4978,0,0,0,0
0,5,0,136,3160,3362,3567,5014,1,50,100,224
0,5,500,138,5538,5537,5532,5660,0,0,0,0
2,5,0,2599,18,422,818,4979,1,50,100,278
2,5,500,2857,5499,9038,10137,8157,0,0,0,0
0,6,0,5914,6155,5762,5397,7512,1,50,100,122
0,6,500,3618,5048,5042,5042,5043,0,0,0,0
3,6,0,5158,18,3244,3644,4961,1,50,100,223
3,6,500,5677,5482,5478,5484,5483,0,0,0,0
0,7,0,41,2772,2961,3165,4974,1,50,100,132
0,7,500,42,4993,4976,4972,4973,0,0,0,0
3,7,0,2501,18,3241,3643,4958,1,50,100,225
3,7,500,2754,5469,5471,5476,5474,0,0,0,0
0,8,0,2719,2259,2500,2725,5763,1,50,100,350
0,8,500,2462,5235,5236,5240,5245,0,0,0,0
4,8,0,2504,173,3403,3826,4953,1,50,100,150
4,8,500,2508,4955,4950,4955,4953,0,0,0,0
0,9,0,3683,2118,2336,2542,5079,1,50,100,269
0,9,500,4054,5936,5611,5612,5613,0,0,0,0
4,9,0,4393,113,3729,4208,5460,1,50,100,173
4,9,500,4273,4953,4954,4953,5185,0,0,0,0
