patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,0.008,0.004,0.069,0.086,0.404,0.001,0.05,0.1,0.447
0,500,0.002,0.407,0.379,0.379,0.378,0,0,0,0
1,0,34.98,0.694,5.712,13.704,68.461,0.001,0.05,0.1,0.435
1,500,6.104,5.16,4.857,4.847,4.835,0,0,0,0
2,0,4.459,0.25,1.668,3.051,12.394,0.001,0.05,0.1,0.379
2,500,4.475,4.761,4.736,4.743,4.729,0,0,0,0
3,0,0.11,0.326,1.87,3.35,12.746,0.001,0.05,0.1,0.349
3,500,0.114,4.77,4.735,4.731,4.739,0,0,0,0
4,0,0.123,0.384,2.072,3.496,11.314,0.001,0.05,0.1,0.346
4,500,0.114,4.758,4.783,4.758,4.759,0,0,0,0
5,0,0.116,0.399,2.112,3.66,10.639,0.001,0.05,0.1,0.334
5,500,0.115,4.856,4.817,4.753,4.763,0,0,0,0
6,0,0.114,0.375,2.207,4.008,12.531,0.001,0.05,0.1,0.401
6,500,0.114,4.776,4.754,4.767,4.753,0,0,0,0
7,0,0.083,0.348,2.343,4.406,12.479,0.001,0.05,0.1,0.405
7,500,0.089,4.878,4.866,4.874,4.894,0,0,0,0
8,0,0.09,0.349,2.366,4.268,12.419,0.001,0.05,0.1,0.402
8,500,0.082,4.911,4.92,4.776,4.822,0,0,0,0
9,0,0.089,0.371,2.341,4.141,12.328,0.001,0.05,0.1,0.41
9,500,0.089,4.775,4.773,4.704,4.695,0,0,0,0
