patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,4801,252,26399,11113,7669,1,39,39,39
0,1,500,4798,7267,7258,7247,8303,0,0,0,0
0,2,0,4745,45,1571,3929,8258,1,50,100,181
0,2,500,4729,7459,7703,8076,8254,0,0,0,0
0,3,0,64,78,1225,2551,7485,1,50,100,239
0,3,500,55,8043,8573,7570,7718,0,0,0,0
1,3,0,4842,46,1490,3727,8077,1,50,100,179
1,3,500,4870,8035,8210,7774,8225,0,0,0,0
0,4,0,118,53,1312,2173,8068,1,50,100,270
0,4,500,117,8181,7532,8176,8579,0,0,0,0
2,4,0,4817,57,2377,6824,7731,1,50,100,110
2,4,500,4802,8244,8619,7904,8304,0,0,0,0
0,5,0,113,42,973,1890,7891,1,50,100,312
0,5,500,116,9486,7616,8298,8060,0,0,0,0
2,5,0,4804,31,1483,3723,8775,1,50,100,187
2,5,500,4808,8279,7779,8175,8144,0,0,0,0
0,6,0,115,43,1106,1872,7609,1,50,100,338
0,6,500,117,8517,7860,8141,8284,0,0,0,0
3,6,0,151,31,2300,5939,7791,1,50,100,145
3,6,500,146,8313,7946,7993,8296,0,0,0,0
0,7,0,118,31,883,1626,7957,1,50,100,368
0,7,500,115,8294,7856,8479,7672,0,0,0,0
3,7,0,150,32,1963,4635,7830,1,50,100,191
3,7,500,149,8237,8245,7773,8192,0,0,0,0
0,8,0,104,31,868,1638,8369,1,50,100,379
0,8,500,101,7946,8259,8102,8177,0,0,0,0
4,8,0,173,31,1949,4036,8468,1,50,100,220
4,8,500,171,7741,8247,7998,7887,0,0,0,0
0,9,0,107,31,929,1829,8403,1,50,100,389
0,9,500,101,7860,8473,7784,8842,0,0,0,0
4,9,0,179,31,1500,3285,8281,1,50,100,262
4,9,500,178,7985,7895,8298,7786,0,0,0,0
