patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,2,4,64,77,347,1,50,100,449
0,500,2,366,340,341,340,0,0,0,0
1,0,37350,694,5712,13704,68461,1,50,100,437
1,500,6082,5244,4739,4736,4727,0,0,0,0
2,0,4313,226,1522,3019,14030,1,50,100,450
2,500,4340,4592,4584,4613,4617,0,0,0,0
3,0,119,264,1741,3350,13257,1,50,100,416
3,500,114,4577,4573,4563,4566,0,0,0,0
4,0,115,351,2091,3496,10965,1,50,100,346
4,500,114,4584,4574,4546,4500,0,0,0,0
5,0,116,386,2168,3763,10582,1,50,100,335
5,500,115,4598,4621,4646,4676,0,0,0,0
6,0,114,375,2640,4232,12086,1,50,100,380
6,500,114,4608,4657,4635,4607,0,0,0,0
7,0,82,309,2343,4520,13359,1,50,100,403
7,500,80,4878,4866,4874,4894,0,0,0,0
8,0,81,322,2466,4699,13225,1,50,100,400
8,500,82,4911,4920,4775,4463,0,0,0,0
9,0,75,485,2341,4051,8625,1,50,100,317
9,500,77,4470,4456,4481,4469,0,0,0,0
