patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,8,2,70,87,404,1,50,100,449
0,500,2,414,382,382,382,0,0,0,0
1,0,14961,334,11806,19734,56660,1,50,100,437
1,500,6321,5160,4857,4847,4835,0,0,0,0
2,0,4459,224,1498,2984,14074,1,50,100,450
2,500,4475,4761,4736,4743,4729,0,0,0,0
3,0,110,298,1870,3364,13615,1,50,100,416
3,500,107,4770,4735,4731,4739,0,0,0,0
4,0,105,368,2048,3423,11034,1,50,100,346
4,500,105,5208,5211,5197,5191,0,0,0,0
5,0,106,399,2112,3660,10639,1,50,100,337
5,500,106,5203,5063,4753,4763,0,0,0,0
6,0,108,420,2331,3921,10668,1,50,100,342
6,500,106,4776,4754,4767,4753,0,0,0,0
7,0,78,348,2346,4406,13201,1,50,100,406
7,500,78,4972,5068,5068,5074,0,0,0,0
8,0,79,424,2400,4167,11042,1,50,100,349
8,500,76,5127,5121,5133,5089,0,0,0,0
9,0,71,353,2393,4550,13440,1,50,100,412
9,500,78,5086,4913,4704,4695,0,0,0,0
