patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,17127,76,5421,4207,44803,1,50,100,459
0,1,500,17041,41108,40935,40925,40900,0,0,0,0
0,2,0,17081,75,375,656,41242,1,50,100,460
0,2,500,16991,41218,41150,40981,40950,0,0,0,0
0,3,0,15079,2601,3163,3156,41183,1,50,100,473
0,3,500,14956,41282,41090,41390,41095,0,0,0,0
1,3,0,32019,1445,2636,3670,41997,1,50,100,444
1,3,500,32175,41694,41924,42193,42534,0,0,0,0
0,4,0,17187,7350,7640,7924,41923,1,50,100,460
0,4,500,17226,41849,41334,41352,41368,0,0,0,0
2,4,0,35674,6252,7286,8343,41800,1,50,100,449
2,4,500,34321,41938,42853,42186,42017,0,0,0,0
0,5,0,11012,7351,7646,7927,42299,1,50,100,474
0,5,500,10942,41839,41553,41612,41487,0,0,0,0
2,5,0,28422,6313,7338,8381,41926,1,50,100,676
2,5,500,30849,18228,19502,20719,46217,1,50,100,176
0,6,0,9572,10757,11095,11407,45077,1,50,100,434
0,6,500,8675,41912,41802,41760,41906,0,0,0,0
3,6,0,23603,10830,11847,12959,42115,1,50,100,690
3,6,500,23564,21129,22330,23330,41700,1,50,100,190
0,7,0,6373,12059,12425,12743,41710,1,50,100,451
0,7,500,6368,41634,41586,41553,41592,0,0,0,0
3,7,0,21247,10773,11796,12818,42152,1,50,100,882
3,7,500,21260,21203,22192,23359,41924,1,50,100,382
0,8,0,4478,14248,14539,14839,42302,1,50,100,486
0,8,500,4471,41782,41823,41982,41825,0,0,0,0
4,8,0,21562,15445,16460,17553,42220,1,50,100,860
4,8,500,21568,26088,27318,28174,42162,1,50,100,360
0,9,0,2414,16403,16722,16989,42294,1,50,100,469
0,9,500,2415,42048,41909,41866,41847,0,0,0,0
4,9,0,19515,15768,16515,17638,42157,1,50,100,1331
4,9,500,19679,26125,27074,28222,55953,1,50,100,831
