patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,155,118,118,117,117,0,0,0,0
0,1,500,156,127,127,128,126,0,0,0,0
0,2,0,163,66,126,126,127,1,1,1,1
0,2,500,163,136,135,136,136,0,0,0,0
0,3,0,166,38,128,127,128,1,6,6,6
0,3,500,164,140,138,138,139,0,0,0,0
1,3,0,282,27,136,136,136,1,1,1,1
1,3,500,283,145,144,143,143,0,0,0,0
0,4,0,157,152,152,151,151,0,0,0,0
0,4,500,157,158,158,157,157,0,0,0,0
2,4,0,282,53,136,135,138,1,5,5,5
2,4,500,282,146,147,145,145,0,0,0,0
0,5,0,158,155,155,155,155,0,0,0,0
0,5,500,158,160,160,159,159,0,0,0,0
2,5,0,283,55,139,137,137,1,5,5,5
2,5,500,283,146,147,145,144,0,0,0,0
0,6,0,158,51,156,155,154,1,1,1,1
0,6,500,158,161,160,161,160,0,0,0,0
3,6,0,285,55,140,138,137,1,5,5,5
3,6,500,286,146,146,145,144,0,0,0,0
0,7,0,165,69,165,165,164,1,1,1,1
0,7,500,163,174,173,174,173,0,0,0,0
3,7,0,290,40,139,137,138,1,6,6,6
3,7,500,288,144,143,144,143,0,0,0,0
0,8,0,164,66,161,162,161,1,1,1,1
0,8,500,163,170,169,171,170,0,0,0,0
4,8,0,282,38,135,137,135,1,1,1,1
4,8,500,283,144,143,143,143,0,0,0,0
0,9,0,122,66,173,175,173,1,3,3,3
0,9,500,118,184,184,185,184,0,0,0,0
4,9,0,240,39,135,136,136,1,3,3,3
4,9,500,238,143,143,144,143,0,0,0,0
