patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,11035,6826,470,4837,31868,1,50,100,288
0,1,500,11071,26553,26250,26223,26293,0,0,0,0
0,2,0,9650,26,289,565,26421,1,50,100,384
0,2,500,9612,26649,26386,26362,26358,0,0,0,0
0,3,0,8220,1475,1736,2009,26463,1,50,100,384
0,3,500,8243,26708,26382,26389,26398,0,0,0,0
1,3,0,19211,857,1849,2926,26813,1,50,100,288
1,3,500,19471,26773,26736,26820,26713,0,0,0,0
0,4,0,7113,3475,3735,4021,26418,1,50,100,336
0,4,500,7329,26388,26435,26420,26420,0,0,0,0
2,4,0,16715,3857,4897,5963,27713,1,50,100,288
2,4,500,16693,26693,26688,26728,26694,0,0,0,0
0,5,0,5434,4475,4731,5008,27919,1,50,100,384
0,5,500,5442,26481,26564,26619,26606,0,0,0,0
2,5,0,15075,3904,4946,5987,27560,1,50,100,432
2,5,500,15025,26693,26699,26689,26747,0,0,0,0
0,6,0,4063,6002,6575,6550,37709,1,50,100,384
0,6,500,9499,34894,26555,26545,26624,0,0,0,0
3,6,0,12374,6959,8026,9089,27090,1,50,100,432
3,6,500,12309,26786,27099,27062,26795,0,0,0,0
0,7,0,2715,7865,7840,8121,27004,1,50,100,384
0,7,500,2710,26553,26744,27335,27857,0,0,0,0
3,7,0,10919,6959,8016,9072,27651,1,50,100,576
3,7,500,10982,17715,18510,27152,26873,1,50,76,76
0,8,0,1384,8983,9261,9526,26664,1,50,100,384
0,8,500,1384,26529,26527,26915,26589,0,0,0,0
4,8,0,8496,10017,11023,12433,26966,1,50,100,576
4,8,500,8535,20472,21717,26709,26848,1,50,76,76
0,9,0,64,10509,11025,11024,26665,1,50,100,384
0,9,500,44,26595,26953,26760,26695,0,0,0,0
4,9,0,7160,10885,11068,12185,26901,1,50,100,864
4,9,500,7171,21771,21467,22583,26772,1,50,100,364
