patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,6763,3645,19914,15978,11054,1,50,89,89
0,1,500,6753,9104,9133,9065,9066,0,0,0,0
0,2,0,1847,48,1035,4095,9418,1,50,100,190
0,2,500,1855,9402,9442,10765,9421,0,0,0,0
0,3,0,1665,25,937,2469,9483,1,50,100,252
0,3,500,1666,9545,9452,9461,9514,0,0,0,0
1,3,0,8444,29,8547,17233,11625,1,50,87,87
1,3,500,8449,15680,15275,11059,9654,0,0,0,0
0,4,0,1170,49,959,1248,9574,1,50,100,317
0,4,500,1151,9520,9561,9484,9546,0,0,0,0
2,4,0,2984,57,1186,5465,9699,1,50,100,117
2,4,500,2965,9659,9601,9671,9683,0,0,0,0
0,5,0,1049,49,913,1192,9583,1,50,100,316
0,5,500,1046,9605,9825,9593,9549,0,0,0,0
2,5,0,2862,57,1154,5065,9638,1,50,100,154
2,5,500,3133,9638,9796,9753,9656,0,0,0,0
0,6,0,521,49,672,1150,9433,1,50,100,349
0,6,500,517,9351,9432,9370,9422,0,0,0,0
3,6,0,2155,80,1222,5040,9677,1,50,100,210
3,6,500,2159,9790,9729,9672,9666,0,0,0,0
0,7,0,309,49,635,1263,9441,1,50,100,340
0,7,500,310,9444,9390,9482,9409,0,0,0,0
3,7,0,1947,80,1175,2945,9709,1,50,100,280
3,7,500,1961,9720,9650,9634,9623,0,0,0,0
0,8,0,1918,49,599,1414,9686,1,50,100,355
0,8,500,1913,9700,9742,9606,9690,0,0,0,0
4,8,0,3041,113,1561,3018,9741,1,50,100,278
4,8,500,3027,9647,9633,9666,9690,0,0,0,0
0,9,0,71,96,657,1597,9720,1,50,100,391
0,9,500,72,9706,9672,9731,9683,0,0,0,0
4,9,0,1201,113,1229,2339,9665,1,50,100,399
4,9,500,1204,9697,9684,9675,9647,0,0,0,0
