patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,572,320,578,577,578,1,15,15,15
0,1,500,567,587,586,586,582,0,0,0,0
0,2,0,566,311,562,564,564,1,15,15,15
0,2,500,565,571,572,572,572,0,0,0,0
0,3,0,381,261,565,565,564,1,17,17,17
0,3,500,379,574,573,573,573,0,0,0,0
1,3,0,914,411,573,572,573,1,1,1,1
1,3,500,908,595,591,592,592,0,0,0,0
0,4,0,576,430,1919,573,576,1,14,14,14
0,4,500,571,586,584,586,582,0,0,0,0
2,4,0,1112,114,601,598,590,1,3,3,3
2,4,500,1115,596,591,582,580,0,0,0,0
0,5,0,536,34,575,575,575,1,21,21,21
0,5,500,536,585,584,595,584,0,0,0,0
2,5,0,1070,33,573,574,572,1,10,10,10
2,5,500,1066,592,594,591,592,0,0,0,0
0,6,0,410,34,597,594,594,1,22,22,22
0,6,500,407,604,612,602,601,0,0,0,0
3,6,0,767,33,592,588,587,1,9,9,9
3,6,500,758,579,578,578,577,0,0,0,0
0,7,0,541,33,585,585,583,1,23,23,23
0,7,500,541,593,592,592,598,0,0,0,0
3,7,0,1660,33,571,591,588,1,10,10,10
3,7,500,905,595,592,593,592,0,0,0,0
0,8,0,393,34,608,605,604,1,32,32,32
0,8,500,400,617,614,609,593,0,0,0,0
4,8,0,925,32,570,568,576,1,9,9,9
4,8,500,915,581,578,577,576,0,0,0,0
0,9,0,392,33,582,582,583,1,23,23,23
0,9,500,386,609,606,604,603,0,0,0,0
4,9,0,938,33,587,585,584,1,18,18,18
4,9,500,938,597,593,593,592,0,0,0,0
