patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,13,3,11,15,28,1,50,100,198
0,500,2,33,21,24,16,0,0,0,0
1,0,19913,94,934,3758,56100,1,50,100,198
1,500,124,164,160,163,154,0,0,0,0
2,0,114,125,1347,2461,4555,1,50,100,198
2,500,96,127,125,125,125,0,0,0,0
3,0,92,104,1064,2006,3812,1,50,100,198
3,500,84,109,107,108,102,0,0,0,0
4,0,77,85,920,1743,3346,1,50,100,198
4,500,73,96,95,95,95,0,0,0,0
5,0,70,78,743,1336,2703,1,50,100,198
5,500,84,71,72,71,70,0,0,0,0
6,0,86,58,633,1212,2451,1,50,100,198
6,500,86,71,71,71,70,0,0,0,0
7,0,86,64,696,1337,2701,1,50,100,198
7,500,80,71,70,70,70,0,0,0,0
8,0,86,59,637,1210,2448,1,50,100,198
8,500,87,71,71,70,70,0,0,0,0
9,0,85,64,695,1333,2697,1,50,100,198
9,500,81,72,70,70,70,0,0,0,0
