patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1235,6,16,14,19,1,50,100,195
0,500,4,26,29,23,16,0,0,0,0
1,0,55172,237119,21783,18241,81589,1,50,100,195
1,500,15694,34022,33908,33952,33918,0,0,0,0
2,0,18115,17324,17859,18449,33663,1,50,100,195
2,500,13660,31951,31942,31929,32008,0,0,0,0
3,0,17042,19139,19687,20092,31719,1,50,100,195
3,500,11814,30022,30168,30263,30087,0,0,0,0
4,0,9879,17565,18059,18552,29828,1,50,100,195
4,500,9799,28184,28186,28269,28149,0,0,0,0
5,0,10940,17590,18484,18809,27807,1,50,100,195
5,500,7851,26197,26260,26297,26203,0,0,0,0
6,0,13426,19784,18227,18868,25813,1,50,100,195
6,500,5906,24197,24348,24612,24242,0,0,0,0
7,0,3986,17738,18305,18946,23861,1,50,100,195
7,500,3979,22362,22372,22361,22370,0,0,0,0
8,0,4871,17926,18432,18963,22008,1,50,100,195
8,500,2027,20632,20393,20392,20365,0,0,0,0
9,0,4178,22636,18483,18995,19997,1,50,100,195
9,500,71,18417,18497,18379,18417,0,0,0,0
