patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,1393,6,17,25,28,1,50,100,115
0,500,4,18,21,22,15,0,0,0,0
1,0,64234,129662,13039,16618,15237,1,50,81,81
1,500,14541,14566,14558,14557,14573,0,0,0,0
2,0,6049,6520,7303,7839,13887,1,50,100,115
2,500,5985,13862,13846,13856,13848,0,0,0,0
3,0,12402,6484,7286,7818,13071,1,50,100,117
3,500,5158,13019,13044,13054,13058,0,0,0,0
4,0,4415,4841,7753,8296,12615,1,50,100,109
4,500,4370,12228,12233,12232,12226,0,0,0,0
5,0,3590,6592,7391,7915,11471,1,50,100,116
5,500,3570,11433,11438,11438,11432,0,0,0,0
6,0,9136,9757,8196,7701,10399,1,50,100,116
6,500,2492,10354,10687,10354,10357,0,0,0,0
7,0,6594,10025,8112,8077,9926,1,50,100,112
7,500,1982,9881,9839,9849,9862,0,0,0,0
8,0,5625,7011,7814,9058,9057,1,50,87,87
8,500,1154,9074,9079,9007,9035,0,0,0,0
9,0,128,6482,7270,7802,7999,1,50,100,116
9,500,77,7965,8018,7963,7966,0,0,0,0
